review_text,rating,date,language,sentiment,confidence,sentiment_clean,predicted_category,category_confidence,category,confidence_band,review_length,label_source,label,label_method
"My heartfelt gratitude to Atastha for providing a comfortable and convenient journey at a very reasonable price❤️‍🔥🫂 There is now big news that some three-wheeler owners in Sri Lanka who are making money unfairly are protesting😅💔 The public is already giving you the strength to continue this service you are doing without giving up on anything. Don't be afraid of anything, we are always with you",5,2025-12-30 01:27:28,English,Positive,0.9997,POSITIVE,"fair pricing, cheap fares, transparent pricing, discounts, good value",0.4029544591903686,Fair Pricing,low,397,zero-shot-bart-large-mnli,Fair Pricing,keyword_rule
"I'm from k funny short films YouTube channel, like to travel worldwide,when i was visiting Sri Lanka i could use the app. It's working well with my IOS and Android ❤️",5,2025-12-27 17:10:11,English,Positive,0.9991,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.8229357600212097,App Experience,high,166,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
actually it is a good app than apps and the vehicles are more cheaper than the other vehicles,5,2025-12-26 15:46:36,English,Positive,0.9994,POSITIVE,"fair pricing, cheap fares, transparent pricing, discounts, good value",0.6317057013511658,Fair Pricing,medium,93,zero-shot-bart-large-mnli,App Experience,keyword_rule
very helpful app thanks,5,2025-12-26 10:34:25,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5538848638534546,App Experience,medium,23,zero-shot-bart-large-mnli,App Experience,keyword_rule
Best Perform App Low Cost 👍,5,2025-12-23 21:10:00,English,Positive,0.899,POSITIVE,"fair pricing, cheap fares, transparent pricing, discounts, good value",0.4961519539356231,Fair Pricing,medium,27,zero-shot-bart-large-mnli,App Experience,keyword_rule
this very quick this is better then anchor apps,5,2025-12-19 19:56:32,English,Positive,0.8592,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6777746081352234,App Experience,high,47,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
Very good app and easy to use👌,5,2025-12-19 12:03:09,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6903102397918701,App Experience,high,30,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
"akram was a honest person, he returned my house keys after 1 hrs. I can recommend him, hope all pick me driver will have the same honesty",5,2025-12-18 22:47:34,English,Positive,0.9993,POSITIVE,"helpful customer support, quick refund, good service",0.8508363962173462,Good Support,high,137,zero-shot-bart-large-mnli,Good Support,auto_high_confidence
This app is so good 👍😊,5,2025-12-16 17:20:50,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.601564347743988,App Experience,medium,22,zero-shot-bart-large-mnli,App Experience,keyword_rule
this is a super app,5,2025-12-15 08:22:56,English,Positive,0.9964,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6010441780090332,App Experience,medium,19,zero-shot-bart-large-mnli,App Experience,keyword_rule
very courteous driver. Clean vehicle.,5,2025-12-12 15:13:23,English,Positive,0.9995,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.8785223960876465,Driver Service,high,37,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
He is driving the vehicle safely.,5,2025-12-12 12:41:49,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.8074130415916443,Driver Service,high,33,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
very good driver.,5,2025-12-11 18:20:12,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.6793253421783447,Driver Service,high,17,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
professional and peaceful drive,5,2025-12-11 17:10:56,English,Positive,0.9994,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.8559882640838623,Driver Service,high,31,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
it is very important app,5,2025-12-10 13:51:33,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.3895646035671234,Driver Service,low,24,zero-shot-bart-large-mnli,App Experience,keyword_rule
the best app for tours,5,2025-12-10 08:10:08,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.4618283212184906,App Experience,medium,22,zero-shot-bart-large-mnli,App Experience,keyword_rule
this app is very nice,5,2025-12-09 12:34:26,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5177544355392456,App Experience,medium,21,zero-shot-bart-large-mnli,App Experience,keyword_rule
helping to emergency time and good drivers. thanks pickme. plz increase to pickme drivers to Trincomalee. I love pickme.....❤️,5,2025-12-08 00:08:26,English,Positive,0.9997,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.7897508144378662,Driver Service,high,126,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
"love the app , hands down the best app in Sri Lanka",5,2025-12-03 20:36:30,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.7243267893791199,App Experience,high,51,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
"on time,friendly",5,2025-12-03 18:08:35,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.6531317830085754,Driver Service,high,16,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
"good rider, professional quality",4,2025-11-21 04:53:32,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.826202929019928,Driver Service,high,32,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
great service they provide for customers.,5,2025-11-19 19:04:14,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.3915873765945434,Driver Service,low,41,zero-shot-bart-large-mnli,Good Support,keyword_rule
Very good service provide,5,2025-11-19 11:13:06,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4349264800548553,Driver Service,low,25,zero-shot-bart-large-mnli,Good Support,keyword_rule
very valuable and affordable,5,2025-11-18 16:17:13,English,Positive,0.9999,POSITIVE,"fair pricing, cheap fares, transparent pricing, discounts, good value",0.5701168179512024,Fair Pricing,medium,28,zero-shot-bart-large-mnli,Fair Pricing,keyword_rule
good app in sri lanka godd app,5,2025-11-17 20:28:54,English,Positive,0.9996,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5126489996910095,App Experience,medium,30,zero-shot-bart-large-mnli,App Experience,keyword_rule
I Love This App,5,2025-11-17 06:00:52,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6624211668968201,App Experience,high,15,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
Good transport service..,5,2025-11-14 16:11:20,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.5403282642364502,Driver Service,medium,24,zero-shot-bart-large-mnli,Good Support,keyword_rule
Best riding app in Sri Lanka 🇱🇰,5,2025-11-13 02:00:19,English,Positive,0.9995,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.4127832651138305,App Experience,low,31,zero-shot-bart-large-mnli,App Experience,keyword_rule
everyday useful app,5,2025-11-12 07:28:28,English,Positive,0.9984,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.7646304965019226,App Experience,high,19,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
"on time arrived , friendly,",5,2025-11-12 00:12:49,English,Positive,0.9992,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.6971849799156189,Driver Service,high,27,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
it's a great app I love it but the only reason is that when ordering from pick me foods there has to be at least 5000 cash limit. In some shops when we order at least one item the price goes over 2500 so please make sure to check with this. Overall the best app for rides and delivery items. love it. But please make sure to check on that pick me foods. At least 5000 cash limit.,5,2025-11-11 11:09:36,English,Positive,0.9993,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.7661007046699524,App Experience,high,379,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
so maybe use and play to find. really i liked than you dont wonton day to day data basically your could saved foray your galaxy gallery. be enjoy and keeping thus.,5,2025-11-11 08:24:01,English,Positive,0.9854,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6686108112335205,App Experience,high,163,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
It's very reasonable price for me and saftu,3,2025-11-10 12:53:42,English,Positive,0.9803,POSITIVE,"fair pricing, cheap fares, transparent pricing, discounts, good value",0.7229723930358887,Fair Pricing,high,43,zero-shot-bart-large-mnli,Fair Pricing,auto_high_confidence
Excellent Service❤️,5,2025-11-09 09:41:22,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4541942775249481,Driver Service,medium,19,zero-shot-bart-large-mnli,Good Support,keyword_rule
it is really helpful but the delivery charge is high otherwise no amy problems.highly recomended!!,5,2025-11-08 16:42:25,English,Positive,0.9897,POSITIVE,"helpful customer support, quick refund, good service",0.3546887636184692,Good Support,low,98,zero-shot-bart-large-mnli,Fast Delivery,keyword_rule
"polite, kind, and drives with care, respects the road rules and pedestrian.",5,2025-11-07 19:35:01,English,Positive,0.9997,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.9811208844184875,Driver Service,high,75,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
Best app for travelling in Sri Lanka,5,2025-11-07 14:42:07,English,Positive,0.9988,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5395434498786926,App Experience,medium,36,zero-shot-bart-large-mnli,App Experience,keyword_rule
Good app. Please add dark mode option,5,2025-11-05 12:42:12,English,Positive,0.9991,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5889590382575989,App Experience,medium,37,zero-shot-bart-large-mnli,App Experience,keyword_rule
pickMe is Good App 😍,5,2025-11-04 10:47:19,English,Positive,0.9994,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5762600898742676,App Experience,medium,20,zero-shot-bart-large-mnli,App Experience,keyword_rule
Good driver .Dropped me in 30 mts time,5,2025-10-30 12:38:59,English,Positive,0.9993,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.816332221031189,Driver Service,high,38,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
this app very helpful my travel's,5,2025-10-29 17:59:48,English,Positive,0.9976,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5626556277275085,App Experience,medium,33,zero-shot-bart-large-mnli,App Experience,keyword_rule
"Good driving ,polite and pleasant persanality",5,2025-10-29 10:05:53,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.9250075817108154,Driver Service,high,45,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
very good driver,5,2025-10-24 17:24:09,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.7318077683448792,Driver Service,high,16,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
it's very safety,5,2025-10-23 18:06:21,English,Positive,0.9947,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.6278470754623413,Driver Service,medium,16,zero-shot-bart-large-mnli,Driver Service,keyword_rule
"Driver was polite,and drove safely. The vehicle was clean and comfortable. Very satisfied with the service.",5,2025-10-18 06:53:37,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.9270698428153992,Driver Service,high,107,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
"Very safe, good driving , came on time.",5,2025-10-16 22:38:10,English,Positive,0.9997,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.8750605583190918,Driver Service,high,39,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
"Decent,careful driving",5,2025-10-16 11:48:43,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.9040214419364928,Driver Service,high,22,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
excellent service keep it up pickme,5,2025-10-15 20:43:41,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.5798060297966003,Driver Service,medium,35,zero-shot-bart-large-mnli,Good Support,keyword_rule
Happy with the prompt customer service to complaints.,4,2025-10-14 18:52:09,English,Positive,0.9998,POSITIVE,"helpful customer support, quick refund, good service",0.7499696016311646,Good Support,high,53,zero-shot-bart-large-mnli,Good Support,auto_high_confidence
Amazing customer service. Highly recommend.,5,2025-10-14 02:43:07,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.3744453191757202,Driver Service,low,43,zero-shot-bart-large-mnli,Good Support,keyword_rule
"thankss,,very helpful & easy to use ..",5,2025-10-09 22:09:17,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.4264383614063263,App Experience,low,38,zero-shot-bart-large-mnli,App Experience,keyword_rule
I have used this app so many times...it's good.,5,2025-10-01 15:36:04,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6768918037414551,App Experience,high,47,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
help. full driver.,5,2025-10-01 14:54:26,English,Positive,0.811,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.643153190612793,Driver Service,medium,18,zero-shot-bart-large-mnli,Driver Service,keyword_rule
take care of ordering food.,1,2025-09-30 02:04:26,English,Positive,0.9656,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.3284399807453155,App Experience,low,27,zero-shot-bart-large-mnli,Fast Delivery,keyword_rule
nice application good,5,2025-09-28 21:06:35,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5173244476318359,App Experience,medium,21,zero-shot-bart-large-mnli,App Experience,keyword_rule
I all ways going trip with pickme It is very helpful when we are in a hurry.,3,2025-09-28 11:38:44,English,Positive,0.9972,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.7800498604774475,App Experience,high,76,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
i am happy with pick me app . verry easy to go any where thank you so much pick me 🙏❤️❤️,5,2025-09-27 18:16:35,English,Positive,0.9997,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.7887886762619019,App Experience,high,88,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
I highly recommend this app. Definitely more than Uber or any other app. At least these people are reliable and trustworthy.,5,2025-09-27 16:58:13,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.5178767442703247,Driver Service,medium,124,zero-shot-bart-large-mnli,App Experience,keyword_rule
"Pick me up – amazing team, very reasonable prices, and excellent service! Highly recommended",5,2025-09-25 08:51:08,English,Positive,0.9999,POSITIVE,"fair pricing, cheap fares, transparent pricing, discounts, good value",0.7067943215370178,Fair Pricing,high,92,zero-shot-bart-large-mnli,Fair Pricing,auto_high_confidence
this app is very usefull,5,2025-09-22 21:32:59,English,Positive,0.9981,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.7282117009162903,App Experience,high,24,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
Great!! On time to the movie..😀,5,2025-09-20 15:33:17,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.3680254817008972,Driver Service,low,31,zero-shot-bart-large-mnli,Fast Delivery,keyword_rule
pick me is the no 1 app in srilanka for riding and food deliver,5,2025-09-20 08:46:13,English,Positive,0.9959,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.3140069842338562,App Experience,low,63,zero-shot-bart-large-mnli,Fast Delivery,keyword_rule
reasonable price,5,2025-09-19 20:15:12,English,Positive,0.9986,POSITIVE,"fair pricing, cheap fares, transparent pricing, discounts, good value",0.5478958487510681,Fair Pricing,medium,16,zero-shot-bart-large-mnli,Fair Pricing,keyword_rule
the sri lankan best app,5,2025-09-16 12:30:07,English,Positive,0.9997,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.4889091253280639,App Experience,medium,23,zero-shot-bart-large-mnli,App Experience,keyword_rule
best driving app in 🇱🇰,5,2025-09-13 11:58:38,English,Positive,0.9992,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.3571101725101471,Driver Service,low,22,zero-shot-bart-large-mnli,App Experience,keyword_rule
This one app very very useful for every time me,5,2025-09-12 00:42:10,English,Positive,0.9969,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.7023289203643799,App Experience,high,47,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
"timely arrival, knowledge of the area",5,2025-09-09 16:08:47,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.6472805142402649,Driver Service,medium,37,zero-shot-bart-large-mnli,Fast Delivery,keyword_rule
Good . but some of the drivers dnt know how to talk.,4,2025-09-08 18:51:25,English,Positive,0.9994,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.411594808101654,Driver Service,low,52,zero-shot-bart-large-mnli,Driver Service,keyword_rule
"very friendly guy , cheers",5,2025-09-08 14:16:39,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.6917153596878052,Driver Service,high,26,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
he is a good driver and driving also good. very understanding person.,5,2025-09-07 09:46:06,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.9600260853767396,Driver Service,high,69,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
very good intelegant Driver.,5,2025-09-07 01:18:26,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.7233617305755615,Driver Service,high,28,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
great service 😊❤️✊,5,2025-09-05 17:08:01,English,Positive,0.9996,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4988651871681213,Driver Service,medium,18,zero-shot-bart-large-mnli,Good Support,keyword_rule
I am highly recommended. Very good customer service.,5,2025-09-04 17:04:41,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.6335287690162659,Driver Service,medium,52,zero-shot-bart-large-mnli,Good Support,keyword_rule
Excellent driver. Very knowledgable and friendly. I would like to give him a 100 out of 100.,5,2025-09-04 14:01:23,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.9425563216209412,Driver Service,high,92,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
It is a very easy and convenient app.,5,2025-09-02 20:01:12,English,Positive,0.9962,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.7936317324638367,App Experience,high,37,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
Very friendly and honest.,5,2025-09-02 17:55:19,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.5291247367858887,Driver Service,medium,25,zero-shot-bart-large-mnli,Driver Service,keyword_rule
"Convinient, friendly and punctual...👍",5,2025-08-31 20:22:19,English,Positive,0.9993,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.6942804455757141,Driver Service,high,37,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
exceptionally good person,5,2025-08-29 22:14:17,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.6728375554084778,Driver Service,high,25,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
MY FIRST TIME 5 STAR APP POCK ME REALLY GOOD APP❤,5,2025-08-29 22:03:50,English,Positive,0.9984,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6449150443077087,App Experience,medium,49,zero-shot-bart-large-mnli,App Experience,keyword_rule
"This app is really good. once I use normal travels it get so much money, but when I know this it only take a little. I rate you a t stars good luck. ehenam kollo api giya.",5,2025-08-29 11:22:57,English,Positive,0.9953,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6646145582199097,App Experience,high,171,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
Very Helpful App,5,2025-08-28 00:42:30,English,Positive,0.9997,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.551291286945343,App Experience,medium,16,zero-shot-bart-large-mnli,App Experience,keyword_rule
veryy use full app i like,5,2025-08-27 13:03:59,English,Positive,0.9923,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.3999243378639221,App Experience,low,25,zero-shot-bart-large-mnli,App Experience,keyword_rule
"excellent driving, clean car",5,2025-08-26 12:10:23,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.9611904621124268,Driver Service,high,28,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
"all good, the driver was polite and on time",5,2025-08-25 22:23:40,English,Positive,0.9997,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.8678768873214722,Driver Service,high,43,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
"I got this very quickly, good & very safe travel",5,2025-08-25 11:04:32,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4182705283164978,Driver Service,low,48,zero-shot-bart-large-mnli,Driver Service,keyword_rule
Good app very useful 👌,5,2025-08-24 18:32:30,English,Positive,0.9996,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6622887253761292,App Experience,high,22,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
"I’ve had a great experience with PickMe! The app is easy to use, rides are convenient, and drivers are generally friendly and professional. Booking is quick, and I like the transparent pricing. Definitely worth 5 stars!",5,2025-08-21 21:17:08,English,Positive,0.9993,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.7461483478546143,App Experience,high,219,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
good driver and friendly,2,2025-08-21 14:06:13,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.7512337565422058,Driver Service,high,24,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
this app and her divers are not good but inside serilanka for helpful,3,2025-08-17 17:05:25,English,Positive,0.9968,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4652381241321563,Driver Service,medium,69,zero-shot-bart-large-mnli,App Experience,keyword_rule
wonderfully app,5,2025-08-15 05:40:22,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6076632142066956,App Experience,medium,15,zero-shot-bart-large-mnli,App Experience,keyword_rule
pickme is good app .🥰,5,2025-08-11 19:57:29,English,Positive,0.9996,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5292438268661499,App Experience,medium,21,zero-shot-bart-large-mnli,App Experience,keyword_rule
best app in the world,5,2025-08-10 23:58:53,English,Positive,0.9995,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.4851538240909576,App Experience,medium,21,zero-shot-bart-large-mnli,App Experience,keyword_rule
good service great job👍loved so much ❤️,5,2025-08-10 08:48:01,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4453244209289551,Driver Service,low,39,zero-shot-bart-large-mnli,Good Support,keyword_rule
Very friendly driver. Was on time.,5,2025-08-05 10:41:33,English,Positive,0.9995,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.899702787399292,Driver Service,high,34,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
very good driving and polite,1,2025-08-04 19:34:53,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.8975951671600342,Driver Service,high,28,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
"Welcome to PickMe! 🚖 Fast, safe, and reliable rides at your fingertips.",5,2025-08-03 23:41:39,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.507665753364563,App Experience,medium,71,zero-shot-bart-large-mnli,Driver Service,keyword_rule
Excellence driving and very friendly.🙏,5,2025-08-01 19:02:03,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.8985613584518433,Driver Service,high,38,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
polite and professio,5,2025-08-01 17:47:47,English,Positive,0.9978,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.6405454277992249,Driver Service,medium,20,zero-shot-bart-large-mnli,Driver Service,keyword_rule
